"","st_sensor_code","st_value_1","datetime","year","csum","x"
"202",748,0,2020-02-06 06:59:59,"2020",0,0000-02-06 07:00:00
"203",748,0,2020-02-06 06:00:00,"2020",0,0000-02-06 06:00:00
"204",748,0,2020-02-06 05:00:00,"2020",0,0000-02-06 05:00:00
"205",748,0,2020-02-06 03:59:59,"2020",0,0000-02-06 04:00:00
"206",748,0,2020-02-06 03:00:00,"2020",0,0000-02-06 03:00:00
"207",748,0,2020-02-06 02:00:00,"2020",0,0000-02-06 02:00:00
"208",748,0,2020-02-06 00:59:59,"2020",0,0000-02-06 01:00:00
"209",748,0,2020-02-06 00:00:00,"2020",0,0000-02-06 00:00:00
"210",748,0,2020-02-05 23:00:00,"2020",0,0000-02-05 23:00:00
"211",748,0,2020-02-05 21:59:59,"2020",0,0000-02-05 22:00:00
"212",748,0,2020-02-05 21:00:00,"2020",0,0000-02-05 21:00:00
"213",748,0,2020-02-05 20:00:00,"2020",0,0000-02-05 20:00:00
"214",748,0,2020-02-05 18:59:59,"2020",0,0000-02-05 19:00:00
"215",748,0,2020-02-05 18:00:00,"2020",0,0000-02-05 18:00:00
"216",748,0,2020-02-05 17:00:00,"2020",0,0000-02-05 17:00:00
"217",748,0,2020-02-07 15:59:59,"2020",0,0000-02-07 16:00:00
"218",748,0,2020-02-07 15:00:00,"2020",0,0000-02-07 15:00:00
"219",748,0,2020-02-07 14:00:00,"2020",0,0000-02-07 14:00:00
"220",748,0,2020-02-07 12:59:59,"2020",0,0000-02-07 13:00:00
"221",748,0,2020-02-07 12:00:00,"2020",0,0000-02-07 12:00:00
"222",748,0,2020-02-07 11:00:00,"2020",0,0000-02-07 11:00:00
"223",748,0,2020-02-07 09:59:59,"2020",0,0000-02-07 10:00:00
"224",748,0,2020-02-07 09:00:00,"2020",0,0000-02-07 09:00:00
"225",748,0,2020-02-07 08:00:00,"2020",0,0000-02-07 08:00:00
"226",748,0,2020-02-07 06:59:59,"2020",0,0000-02-07 07:00:00
"227",748,0,2020-02-07 06:00:00,"2020",0,0000-02-07 06:00:00
"228",748,0,2020-02-07 05:00:00,"2020",0,0000-02-07 05:00:00
"229",748,0,2020-02-07 03:59:59,"2020",0,0000-02-07 04:00:00
"230",748,0,2020-02-07 03:00:00,"2020",0,0000-02-07 03:00:00
"231",748,0,2020-02-07 02:00:00,"2020",0,0000-02-07 02:00:00
"232",748,0,2020-02-07 00:59:59,"2020",0,0000-02-07 01:00:00
"233",748,0,2020-02-07 00:00:00,"2020",0,0000-02-07 00:00:00
"234",748,0,2020-02-06 23:00:00,"2020",0,0000-02-06 23:00:00
"235",748,0,2020-02-06 21:59:59,"2020",0,0000-02-06 22:00:00
"236",748,0,2020-02-06 21:00:00,"2020",0,0000-02-06 21:00:00
"237",748,0,2020-02-06 20:00:00,"2020",0,0000-02-06 20:00:00
"238",748,0,2020-02-06 18:59:59,"2020",0,0000-02-06 19:00:00
"239",748,0,2020-02-06 18:00:00,"2020",0,0000-02-06 18:00:00
"240",748,0,2020-02-06 17:00:00,"2020",0,0000-02-06 17:00:00
"241",748,0,2020-02-08 15:59:59,"2020",0,0000-02-08 16:00:00
"242",748,0,2020-02-08 15:00:00,"2020",0,0000-02-08 15:00:00
"243",748,0,2020-02-08 14:00:00,"2020",0,0000-02-08 14:00:00
"244",748,0,2020-02-08 12:59:59,"2020",0,0000-02-08 13:00:00
"245",748,0,2020-02-08 12:00:00,"2020",0,0000-02-08 12:00:00
"246",748,0,2020-02-08 11:00:00,"2020",0,0000-02-08 11:00:00
"247",748,0,2020-02-08 09:59:59,"2020",0,0000-02-08 10:00:00
"248",748,0,2020-02-08 09:00:00,"2020",0,0000-02-08 09:00:00
"249",748,0,2020-02-08 08:00:00,"2020",0,0000-02-08 08:00:00
"250",748,0,2020-02-08 06:59:59,"2020",0,0000-02-08 07:00:00
"251",748,0,2020-02-08 06:00:00,"2020",0,0000-02-08 06:00:00
"252",748,0,2020-02-08 05:00:00,"2020",0,0000-02-08 05:00:00
"253",748,0,2020-02-08 03:59:59,"2020",0,0000-02-08 04:00:00
"254",748,0,2020-02-08 03:00:00,"2020",0,0000-02-08 03:00:00
"255",748,0,2020-02-08 02:00:00,"2020",0,0000-02-08 02:00:00
"256",748,0,2020-02-08 00:59:59,"2020",0,0000-02-08 01:00:00
"257",748,0,2020-02-08 00:00:00,"2020",0,0000-02-08 00:00:00
"258",748,0,2020-02-07 23:00:00,"2020",0,0000-02-07 23:00:00
"259",748,0,2020-02-07 21:59:59,"2020",0,0000-02-07 22:00:00
"260",748,0,2020-02-07 21:00:00,"2020",0,0000-02-07 21:00:00
"261",748,0,2020-02-07 20:00:00,"2020",0,0000-02-07 20:00:00
"262",748,0,2020-02-07 18:59:59,"2020",0,0000-02-07 19:00:00
"263",748,0,2020-02-07 18:00:00,"2020",0,0000-02-07 18:00:00
"264",748,0,2020-02-07 17:00:00,"2020",0,0000-02-07 17:00:00
"265",748,0,2020-02-09 15:59:59,"2020",0,0000-02-09 16:00:00
"266",748,0,2020-02-09 15:00:00,"2020",0,0000-02-09 15:00:00
"267",748,0,2020-02-09 14:00:00,"2020",0,0000-02-09 14:00:00
"268",748,0,2020-02-09 12:59:59,"2020",0,0000-02-09 13:00:00
"269",748,0,2020-02-09 12:00:00,"2020",0,0000-02-09 12:00:00
"270",748,0,2020-02-09 11:00:00,"2020",0,0000-02-09 11:00:00
"271",748,0,2020-02-09 09:59:59,"2020",0,0000-02-09 10:00:00
"272",748,0,2020-02-09 09:00:00,"2020",0,0000-02-09 09:00:00
"273",748,0,2020-02-09 08:00:00,"2020",0,0000-02-09 08:00:00
"274",748,0,2020-02-09 06:59:59,"2020",0,0000-02-09 07:00:00
"275",748,0,2020-02-09 06:00:00,"2020",0,0000-02-09 06:00:00
"276",748,0,2020-02-09 05:00:00,"2020",0,0000-02-09 05:00:00
"277",748,0,2020-02-09 03:59:59,"2020",0,0000-02-09 04:00:00
"278",748,0,2020-02-09 03:00:00,"2020",0,0000-02-09 03:00:00
"279",748,0,2020-02-09 02:00:00,"2020",0,0000-02-09 02:00:00
"280",748,0,2020-02-09 00:59:59,"2020",0,0000-02-09 01:00:00
"281",748,0,2020-02-09 00:00:00,"2020",0,0000-02-09 00:00:00
"282",748,0,2020-02-08 23:00:00,"2020",0,0000-02-08 23:00:00
"283",748,0,2020-02-08 21:59:59,"2020",0,0000-02-08 22:00:00
"284",748,0,2020-02-08 21:00:00,"2020",0,0000-02-08 21:00:00
"285",748,0,2020-02-08 20:00:00,"2020",0,0000-02-08 20:00:00
"286",748,0,2020-02-08 18:59:59,"2020",0,0000-02-08 19:00:00
"287",748,0,2020-02-08 18:00:00,"2020",0,0000-02-08 18:00:00
"288",748,0,2020-02-08 17:00:00,"2020",0,0000-02-08 17:00:00
"289",748,0,2020-02-10 15:59:59,"2020",0,0000-02-10 16:00:00
"290",748,0,2020-02-10 15:00:00,"2020",0,0000-02-10 15:00:00
"291",748,0,2020-02-10 14:00:00,"2020",0,0000-02-10 14:00:00
"292",748,0,2020-02-10 12:59:59,"2020",0,0000-02-10 13:00:00
"293",748,0,2020-02-10 12:00:00,"2020",0,0000-02-10 12:00:00
"294",748,0,2020-02-10 11:00:00,"2020",0,0000-02-10 11:00:00
"295",748,0,2020-02-10 09:59:59,"2020",0,0000-02-10 10:00:00
"296",748,0,2020-02-10 09:00:00,"2020",0,0000-02-10 09:00:00
"297",748,0,2020-02-10 08:00:00,"2020",0,0000-02-10 08:00:00
"298",748,0,2020-02-10 06:59:59,"2020",0,0000-02-10 07:00:00
"299",748,0,2020-02-10 06:00:00,"2020",0,0000-02-10 06:00:00
"300",748,0,2020-02-10 05:00:00,"2020",0,0000-02-10 05:00:00
"301",748,0,2020-02-10 03:59:59,"2020",0,0000-02-10 04:00:00
"302",748,0,2020-02-10 03:00:00,"2020",0,0000-02-10 03:00:00
"303",748,0,2020-02-10 02:00:00,"2020",0,0000-02-10 02:00:00
"304",748,0,2020-02-10 00:59:59,"2020",0,0000-02-10 01:00:00
"305",748,0,2020-02-10 00:00:00,"2020",0,0000-02-10 00:00:00
"306",748,0,2020-02-09 23:00:00,"2020",0,0000-02-09 23:00:00
"307",748,0,2020-02-09 21:59:59,"2020",0,0000-02-09 22:00:00
"308",748,0,2020-02-09 21:00:00,"2020",0,0000-02-09 21:00:00
"309",748,0,2020-02-09 20:00:00,"2020",0,0000-02-09 20:00:00
"310",748,0,2020-02-09 18:59:59,"2020",0,0000-02-09 19:00:00
"311",748,0,2020-02-09 18:00:00,"2020",0,0000-02-09 18:00:00
"312",748,0,2020-02-09 17:00:00,"2020",0,0000-02-09 17:00:00
"313",748,0,2020-02-11 15:59:59,"2020",0,0000-02-11 16:00:00
"314",748,0,2020-02-11 15:00:00,"2020",0,0000-02-11 15:00:00
"315",748,0,2020-02-11 14:00:00,"2020",0,0000-02-11 14:00:00
"316",748,0,2020-02-11 12:59:59,"2020",0,0000-02-11 13:00:00
"317",748,0,2020-02-11 12:00:00,"2020",0,0000-02-11 12:00:00
"318",748,0,2020-02-11 11:00:00,"2020",0,0000-02-11 11:00:00
"319",748,0,2020-02-11 09:59:59,"2020",0,0000-02-11 10:00:00
